"","variable","model","experiment","value","sd"
"94","rsdt","GFDL-ESM4","shp_30p_red",0,0
"95","rsdt","NorESM2","shp_30p_red",-1.291101057177e-07,1.11348316108502e-07
"96","rsut","CAM-ATRAS","shp_30p_red",0.13901204068008,0.0123236784526498
"97","rsut","CESM1","shp_30p_red",0.0915211844421947,0.0733796904436429
"98","rsut","E3SM","shp_30p_red",0.0655883089606533,0.0487756545280879
"99","rsut","GFDL-ESM4","shp_30p_red",0.0666767147043117,0.0742568958192967
"100","rsut","GISS-E2.1","shp_30p_red",0.0426234328819476,0.0387939521966006
"101","rsut","NorESM2","shp_30p_red",0.0299668100065332,0.0561013492720044
"102","rsutcs","CAM-ATRAS","shp_30p_red",0.00600149703920465,0.00386878233622195
"103","rsutcs","CESM1","shp_30p_red",0.01397279535515,0.0021330393388522
"104","rsutcs","E3SM","shp_30p_red",0.0127321750182915,0.00433079556073964
"105","rsutcs","GFDL-ESM4","shp_30p_red",0.0096958660357231,0.00943251319071027
"106","rsutcs","GISS-E2.1","shp_30p_red",0.0258479297246538,0.000865383616194008
"107","rsutcs","NorESM2","shp_30p_red",0.00702020841073221,0.0024955465834862
"108","so2","CAM-ATRAS","shp_30p_red",-1.38029909654548e-11,9.34925379832031e-13
"109","so2","CESM1","shp_30p_red",-1.4784482217823e-11,8.37419840847258e-13
"110","so2","GFDL-ESM4","shp_30p_red",-1.27655022193471e-11,6.36735042820255e-13
"111","so2","GISS-E2.1","shp_30p_red",-8.0987079673558e-12,2.76428868666086e-13
"112","so2","NorESM2","shp_30p_red",-8.37457341232051e-12,7.42955159190166e-13
"113","srfdms","E3SM","shp_30p_red",2.47269428531446e-13,5.75341135653056e-14
"114","wetbc","CAM-ATRAS","shp_30p_red",-3.84638289410205e-16,3.75882211342165e-16
"115","wetbc","CESM1","shp_30p_red",-4.90607622059161e-18,5.07091134219003e-16
"116","wetbc","E3SM","shp_30p_red",3.0888136612637e-17,2.36591558815884e-16
"117","wetbc","GFDL-ESM4","shp_30p_red",1.54179005606386e-16,1.10050556033368e-15
"118","wetbc","GISS-E2.1","shp_30p_red",-4.32670855084544e-17,2.26914796622494e-16
"119","wetbc","NorESM2","shp_30p_red",-9.92326362987973e-18,4.05367427697799e-16
"120","wetso2","CAM-ATRAS","shp_30p_red",-3.65807765607916e-14,2.3295651228975e-15
"121","wetso2","GFDL-ESM4","shp_30p_red",-4.88817413787603e-14,2.74334778816524e-15
"122","wetso2","NorESM2","shp_30p_red",-3.92414127204303e-14,5.11610828722738e-15
"123","wetso4","CAM-ATRAS","shp_30p_red",-1.89595548521469e-13,6.95634499007212e-15
"124","wetso4","CESM1","shp_30p_red",-1.51019261164834e-13,2.42509888076033e-15
"125","wetso4","E3SM","shp_30p_red",-1.11865669148255e-13,4.86540372704841e-15
"126","wetso4","GISS-E2.1","shp_30p_red",-1.46633846085323e-13,5.32153389851371e-15
"127","wetso4","NorESM2","shp_30p_red",-7.07487706800348e-14,1.501353658887e-14
"128","cl","CAM-ATRAS","shp_60p_red",-0.0114572204994811,0.0114704561486059
"129","cl","CESM1","shp_60p_red",0.000273972828897229,0.0119639965308545
"130","cl","GISS-E2.1","shp_60p_red",0.0114112187869049,0.0213307051551067
"131","clivi","CAM-ATRAS","shp_60p_red",-1.32774806061164e-06,4.1167917417836e-06
"132","clivi","CESM1","shp_60p_red",-3.85669360386129e-05,2.09950563226259e-05
"133","clivi","E3SM","shp_60p_red",-1.94767367617435e-05,2.54003071488273e-05
"134","clivi","GFDL-ESM4","shp_60p_red",4.42730832649396e-05,7.29199502775903e-05
"135","clivi","GISS-E2.1","shp_60p_red",0.000165533639159027,0.000721473924828045
"136","clivi","NorESM2","shp_60p_red",2.20347492280101e-06,2.58330800013426e-05
"137","clt","CAM-ATRAS","shp_60p_red",-0.0183630021658331,0.0396179757972653
"138","clt","CESM1","shp_60p_red",-0.0581008617808209,0.0523613722990601
"139","clt","E3SM","shp_60p_red",0.0101795786178343,0.0445491006329632
"140","clt","GISS-E2.1","shp_60p_red",-0.00150990546350158,0.0198225397221707
"141","clt","NorESM2","shp_60p_red",0.0397633587477188,0.0316625436749709
"142","cltc","E3SM","shp_60p_red",0,0
"143","cltc","GFDL-ESM4","shp_60p_red",-0.000523015109279612,0.00132574553059539
"144","cltc","GISS-E2.1","shp_60p_red",-0.010059676823268,0.0143221248545309
"145","dms","CAM-ATRAS","shp_60p_red",-1.64974007174446e-13,1.70807817223388e-13
"146","dms","GFDL-ESM4","shp_60p_red",-9.57768548214273e-14,9.2064403187748e-14
"147","dms","GISS-E2.1","shp_60p_red",-2.43358202675709e-14,5.49572795510216e-14
"148","dms","NorESM2","shp_60p_red",-7.34859527457114e-15,6.01564488432872e-14
"149","drybc","CAM-ATRAS","shp_60p_red",-3.00927966445198e-17,6.62917733063961e-17
"150","drybc","E3SM","shp_60p_red",9.99426647553814e-17,3.52478302680582e-17
"151","drybc","GFDL-ESM4","shp_60p_red",-1.2898095927997e-16,6.04158453344339e-17
"152","drybc","GISS-E2.1","shp_60p_red",2.67626624951481e-18,2.71440436415251e-17
"153","drybc","NorESM2","shp_60p_red",1.02753619305437e-18,6.07755683534226e-17
"154","dryso2","CAM-ATRAS","shp_60p_red",-1.89645520424113e-13,1.13465825226103e-14
"155","dryso2","E3SM","shp_60p_red",-2.53062272118301e-13,1.08941703258725e-14
"156","dryso2","GFDL-ESM4","shp_60p_red",-2.91476498226263e-13,1.60755712795203e-14
"157","dryso2","GISS-E2.1","shp_60p_red",-3.8409065075121e-13,1.44400346979295e-14
"158","dryso2","NorESM2","shp_60p_red",-3.71496123335927e-13,3.10084702133278e-14
"159","dryso4","CAM-ATRAS","shp_60p_red",-6.7835995345099e-14,4.0440924614114e-15
