"","variable","model","experiment","value","sd"
"101","rsut","GISS-E2.1","shp_30p_red",0.0752173926401213,0.0231667759895546
"102","rsut","NorESM2","shp_30p_red",0.0143856194720797,0.0597451649928742
"103","rsutcs","CAM-ATRAS","shp_30p_red",0.017534694024414,0.00390221176324057
"104","rsutcs","CESM1","shp_30p_red",0.0371047504091436,0.00903607258856642
"105","rsutcs","E3SM","shp_30p_red",0.0301326884166315,0.00167456686214658
"106","rsutcs","GFDL-ESM4","shp_30p_red",0.00530714290397896,0.00972838116453548
"107","rsutcs","GISS-E2.1","shp_30p_red",0.0619170218793528,0.0101925046785764
"108","rsutcs","NorESM2","shp_30p_red",0.019658704553332,0.00583623384618278
"109","so2","CAM-ATRAS","shp_30p_red",-3.19850058400341e-11,1.16973935772774e-12
"110","so2","CESM1","shp_30p_red",-3.52827462072717e-11,1.83304205404272e-12
"111","so2","GFDL-ESM4","shp_30p_red",-2.65820043703912e-11,1.65333169448209e-12
"112","so2","GISS-E2.1","shp_30p_red",-1.74617551522833e-11,5.44683052164794e-13
"113","so2","NorESM2","shp_30p_red",-2.05503806353329e-11,1.81701013198089e-12
"114","srfdms","E3SM","shp_30p_red",1.14051560665292e-13,1.18046714068229e-13
"115","wetbc","CAM-ATRAS","shp_30p_red",-1.72366226808975e-17,5.41686888042711e-16
"116","wetbc","CESM1","shp_30p_red",-6.43781352021972e-16,4.87822103729943e-16
"117","wetbc","E3SM","shp_30p_red",2.72246670794858e-16,4.48801715861653e-16
"118","wetbc","GFDL-ESM4","shp_30p_red",-3.68715297809419e-16,6.89435553538867e-16
"119","wetbc","GISS-E2.1","shp_30p_red",-1.05393197592897e-16,4.94080483703303e-16
"120","wetbc","NorESM2","shp_30p_red",-2.16138302897414e-16,8.54998393141874e-16
"121","wetso2","CAM-ATRAS","shp_30p_red",-6.2606980703832e-14,3.1008791645069e-15
"122","wetso2","GFDL-ESM4","shp_30p_red",-9.29255814081135e-14,7.59211327885284e-15
"123","wetso2","NorESM2","shp_30p_red",-7.6098404256562e-14,5.87991251745773e-15
"124","wetso4","CAM-ATRAS","shp_30p_red",-3.52092817282804e-13,2.13251741916657e-14
"125","wetso4","CESM1","shp_30p_red",-3.15201812523781e-13,6.79453581821835e-15
"126","wetso4","E3SM","shp_30p_red",-1.90249625009302e-13,1.50929222324171e-14
"127","wetso4","GISS-E2.1","shp_30p_red",-2.82385295994455e-13,1.43922785317767e-14
"128","wetso4","NorESM2","shp_30p_red",-1.34989970185321e-13,1.80822816595282e-14
"129","cl","CAM-ATRAS","shp_60p_red",-0.0114718904434006,0.00673965517760121
"130","cl","CESM1","shp_60p_red",0.0208144220259922,0.0142874406442885
"131","cl","GISS-E2.1","shp_60p_red",-0.00490693039415646,0.0173260790267608
"132","clivi","CAM-ATRAS","shp_60p_red",1.72183946349561e-06,7.0010499224433e-06
"133","clivi","CESM1","shp_60p_red",-7.81139812713171e-05,3.88184357648827e-05
"134","clivi","E3SM","shp_60p_red",-1.4756529020166e-05,7.15418879014217e-06
"135","clivi","GFDL-ESM4","shp_60p_red",0.000100731344725552,0.000114592558828984
"136","clivi","GISS-E2.1","shp_60p_red",0.00037267197108691,0.000584991961012789
"137","clivi","NorESM2","shp_60p_red",2.75698063658462e-05,5.96922916679922e-05
"138","clt","CAM-ATRAS","shp_60p_red",-0.0190754047457645,0.0495194280906403
"139","clt","CESM1","shp_60p_red",-0.0661339959548044,0.0832985118009882
"140","clt","E3SM","shp_60p_red",0.0104258180569744,0.0177998900074714
"141","clt","GISS-E2.1","shp_60p_red",-0.0283834129494778,0.0378027702133716
"142","clt","NorESM2","shp_60p_red",0.0184144900501948,0.0829689522927921
"143","cltc","E3SM","shp_60p_red",0,0
"144","cltc","GFDL-ESM4","shp_60p_red",0.000138082434509634,0.00159667014925576
"145","cltc","GISS-E2.1","shp_60p_red",-0.00595803054295558,0.0129320687875037
"146","dms","CAM-ATRAS","shp_60p_red",-1.05764255694021e-13,8.79452644361903e-14
"147","dms","GFDL-ESM4","shp_60p_red",-1.73645767142435e-13,1.88175851175905e-13
"148","dms","GISS-E2.1","shp_60p_red",-1.19087991498103e-13,2.38861214362865e-14
"149","dms","NorESM2","shp_60p_red",-2.06145830742473e-15,4.56816045775859e-14
"150","drybc","CAM-ATRAS","shp_60p_red",-3.48463169206498e-17,3.42477080109852e-17
"151","drybc","E3SM","shp_60p_red",1.67102468643409e-16,4.38565861793985e-17
"152","drybc","GFDL-ESM4","shp_60p_red",-8.53481207252808e-17,1.13361845762749e-16
